Actor,Movie
Emil Eifrem,The Matrix
Keanu Reeves,The Matrix
Carrie-Anne Moss,The Matrix
Hugo Weaving,The Matrix
Laurence Fishburne,The Matrix
Laurence Fishburne,The Matrix Reloaded
Carrie-Anne Moss,The Matrix Reloaded
Hugo Weaving,The Matrix Reloaded
Keanu Reeves,The Matrix Reloaded
Hugo Weaving,The Matrix Revolutions
Keanu Reeves,The Matrix Revolutions
Laurence Fishburne,The Matrix Revolutions
Carrie-Anne Moss,The Matrix Revolutions
Keanu Reeves,The Devil's Advocate
Charlize Theron,The Devil's Advocate
Al Pacino,The Devil's Advocate
J.T. Walsh,A Few Good Men
Kiefer Sutherland,A Few Good Men
Christopher Guest,A Few Good Men
Kevin Pollak,A Few Good Men
Cuba Gooding Jr.,A Few Good Men
James Marshall,A Few Good Men
Noah Wyle,A Few Good Men
Jack Nicholson,A Few Good Men
Aaron Sorkin,A Few Good Men
Kevin Bacon,A Few Good Men
Tom Cruise,A Few Good Men
Demi Moore,A Few Good Men
Anthony Edwards,Top Gun
Kelly McGillis,Top Gun
Tom Cruise,Top Gun
Meg Ryan,Top Gun
Val Kilmer,Top Gun
Tom Skerritt,Top Gun
Bonnie Hunt,Jerry Maguire
Renee Zellweger,Jerry Maguire
Cuba Gooding Jr.,Jerry Maguire
Regina King,Jerry Maguire
Jerry O'Connell,Jerry Maguire
Tom Cruise,Jerry Maguire
Kelly Preston,Jerry Maguire
Jay Mohr,Jerry Maguire
Jonathan Lipnicki,Jerry Maguire
River Phoenix,Stand By Me
Jerry O'Connell,Stand By Me
John Cusack,Stand By Me
Corey Feldman,Stand By Me
Marshall Bell,Stand By Me
Wil Wheaton,Stand By Me
Kiefer Sutherland,Stand By Me
Jack Nicholson,As Good as It Gets
Helen Hunt,As Good as It Gets
Cuba Gooding Jr.,As Good as It Gets
Greg Kinnear,As Good as It Gets
Max von Sydow,What Dreams May Come
Werner Herzog,What Dreams May Come
Annabella Sciorra,What Dreams May Come
Robin Williams,What Dreams May Come
Cuba Gooding Jr.,What Dreams May Come
Ethan Hawke,Snow Falling on Cedars
James Cromwell,Snow Falling on Cedars
Max von Sydow,Snow Falling on Cedars
Rick Yune,Snow Falling on Cedars
Tom Hanks,You've Got Mail
Steve Zahn,You've Got Mail
Meg Ryan,You've Got Mail
Greg Kinnear,You've Got Mail
Dave Chappelle,You've Got Mail
Parker Posey,You've Got Mail
Rita Wilson,Sleepless in Seattle
Bill Pullman,Sleepless in Seattle
Victor Garber,Sleepless in Seattle
Meg Ryan,Sleepless in Seattle
Rosie O'Donnell,Sleepless in Seattle
Tom Hanks,Sleepless in Seattle
Meg Ryan,Joe Versus the Volcano
Tom Hanks,Joe Versus the Volcano
Nathan Lane,Joe Versus the Volcano
Billy Crystal,When Harry Met Sally
Carrie Fisher,When Harry Met Sally
Meg Ryan,When Harry Met Sally
Bruno Kirby,When Harry Met Sally
Liv Tyler,That Thing You Do
Charlize Theron,That Thing You Do
Tom Hanks,That Thing You Do
Keanu Reeves,The Replacements
Brooke Langton,The Replacements
Orlando Jones,The Replacements
Gene Hackman,The Replacements
Christian Bale,RescueDawn
Zach Grenier,RescueDawn
Steve Zahn,RescueDawn
Marshall Bell,RescueDawn
Nathan Lane,The Birdcage
Robin Williams,The Birdcage
Gene Hackman,The Birdcage
Richard Harris,Unforgiven
Clint Eastwood,Unforgiven
Gene Hackman,Unforgiven
Keanu Reeves,Johnny Mnemonic
Takeshi Kitano,Johnny Mnemonic
Ice-T,Johnny Mnemonic
Dina Meyer,Johnny Mnemonic
Halle Berry,Cloud Atlas
Tom Hanks,Cloud Atlas
Jim Broadbent,Cloud Atlas
Hugo Weaving,Cloud Atlas
Tom Hanks,The Da Vinci Code
Paul Bettany,The Da Vinci Code
Ian McKellen,The Da Vinci Code
Audrey Tautou,The Da Vinci Code
Hugo Weaving,V for Vendetta
Stephen Rea,V for Vendetta
John Hurt,V for Vendetta
Ben Miles,V for Vendetta
Natalie Portman,V for Vendetta
Christina Ricci,Speed Racer
Emile Hirsch,Speed Racer
Susan Sarandon,Speed Racer
Ben Miles,Speed Racer
John Goodman,Speed Racer
Rain,Speed Racer
Matthew Fox,Speed Racer
Rick Yune,Ninja Assassin
Rain,Ninja Assassin
Naomie Harris,Ninja Assassin
Ben Miles,Ninja Assassin
James Cromwell,The Green Mile
Sam Rockwell,The Green Mile
Michael Clarke Duncan,The Green Mile
David Morse,The Green Mile
Patricia Clarkson,The Green Mile
Tom Hanks,The Green Mile
Gary Sinise,The Green Mile
Bonnie Hunt,The Green Mile
Sam Rockwell,Frost/Nixon
Oliver Platt,Frost/Nixon
Michael Sheen,Frost/Nixon
Kevin Bacon,Frost/Nixon
Frank Langella,Frost/Nixon
John C. Reilly,Hoffa
Jack Nicholson,Hoffa
J.T. Walsh,Hoffa
Danny DeVito,Hoffa
Tom Hanks,Apollo 13
Ed Harris,Apollo 13
Gary Sinise,Apollo 13
Kevin Bacon,Apollo 13
Bill Paxton,Apollo 13
Philip Seymour Hoffman,Twister
Helen Hunt,Twister
Bill Paxton,Twister
Zach Grenier,Twister
Helen Hunt,Cast Away
Tom Hanks,Cast Away
Jack Nicholson,One Flew Over the Cuckoo's Nest
Danny DeVito,One Flew Over the Cuckoo's Nest
Diane Keaton,Something's Gotta Give
Jack Nicholson,Something's Gotta Give
Keanu Reeves,Something's Gotta Give
Oliver Platt,Bicentennial Man
Robin Williams,Bicentennial Man
Julia Roberts,Charlie Wilson's War
Philip Seymour Hoffman,Charlie Wilson's War
Tom Hanks,Charlie Wilson's War
Tom Hanks,The Polar Express
Geena Davis,A League of Their Own
Tom Hanks,A League of Their Own
Lori Petty,A League of Their Own
Madonna,A League of Their Own
Bill Paxton,A League of Their Own
Rosie O'Donnell,A League of Their Own